donor_id,received_date,check_date,paid_out_date,gross_amount,processing_fee,net_amount,campus,campus_imputed,payment_method,week_end_sunday,
152795925,2025-05-31,,2025-06-05,10.53,-0.53,10,Bucks County Community Church,TRUE,Electronic,2025-06-01,
169086120,2025-05-31,,2025-06-05,102.5,-2.5,100,Bucks County Community Church,TRUE,Electronic,2025-06-01,
25198177,2025-05-31,,2025-06-05,335.3,-0.3,335,Bucks County Community Church,TRUE,Electronic,2025-06-01,
142658660,2025-05-30,,2025-06-05,150.3,-0.3,150,Bucks County Community Church,TRUE,Electronic,2025-06-01,
25198265,2025-05-30,,2025-06-05,107.61,-2.61,105,Bucks County Community Church,TRUE,Electronic,2025-06-01,
96005461,2025-05-30,,2025-06-05,102.5,-2.5,100,Bucks County Community Church,FALSE,Electronic,2025-06-01,
161251455,2025-05-30,,2025-06-05,100,-2.45,97.55,Bucks County Community Church,TRUE,Electronic,2025-06-01,
25197984,2025-05-29,,2025-06-05,50,-0.3,49.7,Bucks County Community Church,FALSE,Electronic,2025-06-01,
147878650,2025-05-29,,2025-06-05,550,-12.13,537.87,Bucks County Community Church,TRUE,Electronic,2025-06-01,
165374643,2025-05-29,,2025-06-05,270,-6.11,263.89,Bucks County Community Church,TRUE,Electronic,2025-06-01,
13177120,2025-05-28,,2025-06-05,250,-5.68,244.32,Bucks County Community Church,FALSE,Electronic,2025-06-01,
151745316,2025-05-27,,2025-05-29,290,-6.54,283.46,Bucks County Community Church,TRUE,Electronic,2025-06-01,
142658683,2025-05-27,,,60,,60,Bucks County Community Church,TRUE,Unknown,2025-06-01,
25198069,2025-05-27,,2025-05-29,61.62,-1.62,60,Bucks County Community Church,TRUE,Electronic,2025-06-01,
161296101,2025-05-26,,2025-05-29,82.06,-2.06,80,Bucks County Community Church,TRUE,Electronic,2025-06-01,
9011838,2025-05-26,,2025-06-05,33.3,-0.3,33,Bucks County Community Church,FALSE,Electronic,2025-06-01,
142658659,2025-05-26,,2025-06-05,80,-0.3,79.7,Bucks County Community Church,TRUE,Electronic,2025-06-01,
165374643,2025-05-26,,2025-05-29,10,-0.52,9.48,Bucks County Community Church,TRUE,Electronic,2025-06-01,
167623864,2025-05-25,,2025-05-29,100,-2.45,97.55,Bucks County Community Church,TRUE,Electronic,2025-05-25,
166249166,2025-05-25,,2025-05-29,20.75,-0.75,20,Bucks County Community Church,TRUE,Electronic,2025-05-25,
142658574,2025-05-25,,2025-06-05,20.3,-0.3,20,Bucks County Community Church,TRUE,Electronic,2025-05-25,
142658644,2025-05-25,,2025-06-05,50.3,-0.3,50,Bucks County Community Church,TRUE,Electronic,2025-05-25,
132567000,2025-05-25,,2025-05-29,50,-1.38,48.62,Bucks County Community Church,TRUE,Electronic,2025-05-25,
142658549,2025-05-25,,2025-05-29,50,-1.38,48.62,Bucks County Community Church,TRUE,Electronic,2025-05-25,
159909209,2025-05-25,,2025-05-29,25.86,-0.86,25,Bucks County Community Church,TRUE,Electronic,2025-05-25,
156859780,2025-05-25,,2025-06-05,175,-0.3,174.7,Bucks County Community Church,FALSE,Electronic,2025-05-25,
142719519,2025-05-25,,2025-05-29,102.5,-2.5,100,Bucks County Community Church,FALSE,Electronic,2025-05-25,
25197985,2025-05-25,,2025-05-29,102.5,-2.5,100,Bucks County Community Church,TRUE,Electronic,2025-05-25,
142658528,2025-05-25,,2025-05-29,60.99,-1.61,59.38,Bucks County Community Church,FALSE,Electronic,2025-05-25,
158515935,2025-05-25,,2025-06-05,700.3,-0.3,700,Bucks County Community Church,TRUE,Electronic,2025-05-25,
161356092,2025-05-25,,2025-05-29,25,-0.84,24.16,Bucks County Community Church,TRUE,Electronic,2025-05-25,
154820246,2025-05-25,,2025-05-29,50,-1.38,48.62,Bucks County Community Church,FALSE,Electronic,2025-05-25,
154995743,2025-05-25,,2025-05-29,25,-0.84,24.16,Bucks County Community Church,FALSE,Electronic,2025-05-25,
142658557,2025-05-25,,2025-05-29,82.06,-2.06,80,Bucks County Community Church,FALSE,Electronic,2025-05-25,
158638299,2025-05-25,,2025-05-29,25.86,-0.86,25,Bucks County Community Church,TRUE,Electronic,2025-05-25,
25197905,2025-05-25,,2025-05-29,25,-0.84,24.16,Bucks County Community Church,TRUE,Electronic,2025-05-25,
163260196,2025-05-25,,2025-05-29,61.62,-1.62,60,Bucks County Community Church,TRUE,Electronic,2025-05-25,
153818068,2025-05-25,,2025-06-05,100.3,-0.3,100,Bucks County Community Church,FALSE,Electronic,2025-05-25,
165773841,2025-05-25,,,40,,0,Bucks County Community Church,TRUE,Unknown,2025-05-25,
165773841,2025-05-25,,2025-05-29,40,-1.16,38.84,Bucks County Community Church,TRUE,Electronic,2025-05-25,
169085403,2025-05-25,,2025-05-29,50,-1.38,48.62,Bucks County Community Church,TRUE,Electronic,2025-05-25,
13151152,2025-05-25,,2025-06-05,900,-0.3,899.7,Bucks County Community Church,FALSE,Electronic,2025-05-25,
13151152,2025-05-25,,2025-06-05,100,-0.3,99.7,Bucks County Community Church,FALSE,Electronic,2025-05-25,
12901014,2025-05-25,2025-05-19,,400,,400,Bucks County Community Church,FALSE,Check,2025-05-25,
25197896,2025-05-25,2025-05-16,,120,,120,Bucks County Community Church,TRUE,Check,2025-05-25,
25197906,2025-05-25,2025-05-25,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-25,
162449573,2025-05-25,2025-05-25,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-25,
147071159,2025-05-25,2025-05-25,,25,,25,Bucks County Community Church,FALSE,Check,2025-05-25,
142658543,2025-05-25,2025-05-25,,50,,50,Bucks County Community Church,TRUE,Check,2025-05-25,
19471360,2025-05-25,2025-05-20,,433,,433,Bucks County Community Church,TRUE,Check,2025-05-25,
142658573,2025-05-25,2025-05-23,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-25,
142658579,2025-05-25,2025-05-25,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-25,
25198052,2025-05-25,2025-05-25,,75,,75,Bucks County Community Church,FALSE,Check,2025-05-25,
131334131,2025-05-25,2025-05-25,,700,,700,Bucks County Community Church,TRUE,Check,2025-05-25,
12900860,2025-05-25,2025-05-22,,1105,,1105,Bucks County Community Church,TRUE,Check,2025-05-25,
142658600,2025-05-25,2025-05-25,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-25,
161087064,2025-05-25,2025-05-21,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-25,
161221704,2025-05-25,2025-05-25,,25,,25,Bucks County Community Church,TRUE,Check,2025-05-25,
25198136,2025-05-25,2025-05-22,,170,,170,Bucks County Community Church,FALSE,Check,2025-05-25,
25198147,2025-05-25,2025-05-23,,50,,50,Bucks County Community Church,TRUE,Check,2025-05-25,
142658636,2025-05-25,2025-05-25,,50,,50,Bucks County Community Church,TRUE,Check,2025-05-25,
142658645,2025-05-25,2025-05-25,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-25,
25198195,2025-05-25,2025-05-25,,825,,825,Bucks County Community Church,TRUE,Check,2025-05-25,
25198226,2025-05-25,2025-05-25,,250,,250,Bucks County Community Church,TRUE,Check,2025-05-25,
25198249,2025-05-25,2025-05-25,,160,,160,Bucks County Community Church,TRUE,Check,2025-05-25,
25198250,2025-05-25,2025-05-19,,65,,65,Bucks County Community Church,TRUE,Check,2025-05-25,
157758110,2025-05-25,2025-05-25,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-25,
25198255,2025-05-25,2025-05-25,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-25,
13119242,2025-05-25,2025-05-19,,350,,350,Bucks County Community Church,TRUE,Check,2025-05-25,
13119242,2025-05-25,2025-05-23,,350,,350,Bucks County Community Church,TRUE,Check,2025-05-25,
72645958,2025-05-25,2025-05-23,,100,,100,Bucks County Community Church,FALSE,Check,2025-05-25,
142658532,2025-05-25,2025-05-16,,400,,400,Bucks County Community Church,TRUE,Check,2025-05-25,
170089131,2025-05-25,2025-05-13,,10,,10,Bucks County Community Church,TRUE,Check,2025-05-25,
170089266,2025-05-25,2025-05-13,,150,,150,Bucks County Community Church,TRUE,Check,2025-05-25,
170089350,2025-05-25,2025-05-20,,50,,50,Bucks County Community Church,TRUE,Check,2025-05-25,
170089478,2025-05-25,2025-05-18,,500,,500,Bucks County Community Church,TRUE,Check,2025-05-25,
170089576,2025-05-25,2025-05-15,,50,,50,Bucks County Community Church,TRUE,Check,2025-05-25,
170089689,2025-05-25,2025-05-16,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-25,
170089790,2025-05-25,2025-05-16,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-25,
13151204,2025-05-25,2025-05-18,,200,,200,Bucks County Community Church,FALSE,Check,2025-05-25,
142658532,2025-05-25,2025-05-16,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-25,
170089964,2025-05-25,2025-05-21,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-25,
142658530,2025-05-25,,,20,,20,Bucks County Community Church,FALSE,Unknown,2025-05-25,
146382431,2025-05-25,,,15,,15,Bucks County Community Church,FALSE,Unknown,2025-05-25,
146382899,2025-05-25,,,25,,25,Bucks County Community Church,FALSE,Unknown,2025-05-25,
25198252,2025-05-25,,,26,,26,Bucks County Community Church,TRUE,Unknown,2025-05-25,
,2025-05-25,,,1356,,1356,Bucks County Community Church,TRUE,Unknown,2025-05-25,
95944356,2025-05-24,,2025-05-29,66.73,-1.73,65,Bucks County Community Church,TRUE,Electronic,2025-05-25,
142658660,2025-05-23,,2025-06-05,150.3,-0.3,150,Bucks County Community Church,TRUE,Electronic,2025-05-25,
142658686,2025-05-22,,2025-05-29,200,-4.6,195.4,Bucks County Community Church,TRUE,Electronic,2025-05-25,
13177120,2025-05-22,,2025-05-29,400,-8.9,391.1,Bucks County Community Church,FALSE,Electronic,2025-05-25,
148232495,2025-05-22,,2025-05-29,5,-0.3,4.7,Bucks County Community Church,TRUE,Electronic,2025-05-25,
147878700,2025-05-21,,2025-05-29,50,-1.38,48.62,Bucks County Community Church,TRUE,Electronic,2025-05-25,
147878650,2025-05-21,,2025-05-29,300,-6.75,293.25,Bucks County Community Church,TRUE,Electronic,2025-05-25,
159486014,2025-05-20,,2025-05-29,1500,-0.3,1499.7,Bucks County Community Church,TRUE,Electronic,2025-05-25,
13237068,2025-05-20,,2025-05-22,400,-8.9,391.1,Bucks County Community Church,FALSE,Electronic,2025-05-25,
141227057,2025-05-19,,2025-05-22,1000,-21.8,978.2,Bucks County Community Church,FALSE,Electronic,2025-05-25,
9011838,2025-05-19,,2025-05-29,33.3,-0.3,33,Bucks County Community Church,FALSE,Electronic,2025-05-25,
142658659,2025-05-19,,2025-05-29,80,-0.3,79.7,Bucks County Community Church,TRUE,Electronic,2025-05-25,
164555011,2025-05-19,,2025-05-22,530,-11.7,518.3,Bucks County Community Church,TRUE,Electronic,2025-05-25,
142660275,2025-05-19,2025-05-17,,200,,200,Bucks County Community Church,FALSE,Check,2025-05-25,
,2025-05-19,,,250,,250,Bucks County Community Church,TRUE,Unknown,2025-05-25,
168646772,2025-05-18,,2025-05-22,25,-0.84,24.16,Bucks County Community Church,TRUE,Electronic,2025-05-18,
169037534,2025-05-18,,2025-05-22,15.64,-0.64,15,Bucks County Community Church,TRUE,Electronic,2025-05-18,
142658574,2025-05-18,,2025-05-22,20.3,-0.3,20,Bucks County Community Church,TRUE,Electronic,2025-05-18,
13151152,2025-05-18,,2025-05-22,200,-0.3,199.7,Bucks County Community Church,FALSE,Electronic,2025-05-18,
132567000,2025-05-18,,2025-05-22,50,-1.38,48.62,Bucks County Community Church,TRUE,Electronic,2025-05-18,
142658549,2025-05-18,,2025-05-22,50,-1.38,48.62,Bucks County Community Church,TRUE,Electronic,2025-05-18,
159909209,2025-05-18,,2025-05-22,25.86,-0.86,25,Bucks County Community Church,TRUE,Electronic,2025-05-18,
156859780,2025-05-18,,2025-05-22,175,-0.3,174.7,Bucks County Community Church,FALSE,Electronic,2025-05-18,
142719519,2025-05-18,,2025-05-22,102.5,-2.5,100,Bucks County Community Church,FALSE,Electronic,2025-05-18,
142658528,2025-05-18,,2025-05-22,60.99,-1.61,59.38,Bucks County Community Church,FALSE,Electronic,2025-05-18,
158515935,2025-05-18,,2025-05-22,700.3,-0.3,700,Bucks County Community Church,TRUE,Electronic,2025-05-18,
142658644,2025-05-18,,2025-05-22,100.3,-0.3,100,Bucks County Community Church,TRUE,Electronic,2025-05-18,
161356092,2025-05-18,,2025-05-22,25,-0.84,24.16,Bucks County Community Church,TRUE,Electronic,2025-05-18,
154820246,2025-05-18,,2025-05-22,50,-1.38,48.62,Bucks County Community Church,FALSE,Electronic,2025-05-18,
154995743,2025-05-18,,2025-05-22,25,-0.84,24.16,Bucks County Community Church,FALSE,Electronic,2025-05-18,
142658557,2025-05-18,,2025-05-22,82.06,-2.06,80,Bucks County Community Church,FALSE,Electronic,2025-05-18,
158638299,2025-05-18,,2025-05-22,25.86,-0.86,25,Bucks County Community Church,TRUE,Electronic,2025-05-18,
25197905,2025-05-18,,2025-05-22,25,-0.84,24.16,Bucks County Community Church,TRUE,Electronic,2025-05-18,
163260196,2025-05-18,,2025-05-22,61.62,-1.62,60,Bucks County Community Church,TRUE,Electronic,2025-05-18,
153818068,2025-05-18,,2025-05-22,100.3,-0.3,100,Bucks County Community Church,FALSE,Electronic,2025-05-18,
169549079,2025-05-18,,2025-05-22,102.5,-2.5,100,Bucks County Community Church,TRUE,Electronic,2025-05-18,
165773841,2025-05-18,,,40,,0,Bucks County Community Church,TRUE,Unknown,2025-05-18,
165773841,2025-05-18,,2025-05-22,40,-1.16,38.84,Bucks County Community Church,TRUE,Electronic,2025-05-18,
25198177,2025-05-18,,2025-05-22,335.3,-0.3,335,Bucks County Community Church,TRUE,Electronic,2025-05-18,
147878598,2025-05-18,,2025-05-22,41.19,-1.19,40,Bucks County Community Church,FALSE,Electronic,2025-05-18,
161002945,2025-05-18,,2025-05-22,102.5,-2.5,100,Bucks County Community Church,TRUE,Electronic,2025-05-18,
147878543,2025-05-18,,2025-05-22,102.5,-2.5,100,Bucks County Community Church,TRUE,Electronic,2025-05-18,
158526255,2025-05-18,,2025-05-22,15.64,-0.64,15,Bucks County Community Church,TRUE,Electronic,2025-05-18,
156761726,2025-05-18,2025-05-03,,200,,200,Bucks County Community Church,TRUE,Check,2025-05-18,
96005434,2025-05-18,2025-05-13,,150,,150,Bucks County Community Church,TRUE,Check,2025-05-18,
164285822,2025-05-18,2025-05-06,,200,,200,Bucks County Community Church,TRUE,Check,2025-05-18,
