allocation_id,transaction_id,fund_id,fund_name_raw,amount
264217507:1,264217507,fund_003,General Fund,100.0
264217510:1,264217510,fund_003,General Fund,100.0
264217514:1,264217514,fund_003,General Fund,100.0
264217516:1,264217516,fund_003,General Fund,100.0
264217517:1,264217517,fund_003,General Fund,100.0
264217518:1,264217518,fund_003,General Fund,205.02
264217527:1,264217527,fund_003,General Fund,15.15
264217540:1,264217540,fund_003,General Fund,300.0
264217541:1,264217541,fund_003,General Fund,300.0
264217544:1,264217544,fund_003,General Fund,205.02
264217557:1,264217557,fund_003,General Fund,2525.25
264217558:1,264217558,fund_003,General Fund,707.07
264217559:1,264217559,fund_003,General Fund,707.07
264217560:1,264217560,fund_003,General Fund,707.07
264217561:1,264217561,fund_003,General Fund,707.07
264217563:1,264217563,fund_003,General Fund,707.07
264217564:1,264217564,fund_003,General Fund,707.07
264217813:1,264217813,fund_003,General Fund,400.0
264217818:1,264217818,fund_003,General Fund,400.0
264217824:1,264217824,fund_003,General Fund,600.0
264217827:1,264217827,fund_003,General Fund,400.0
264217831:1,264217831,fund_003,General Fund,400.0
264217832:1,264217832,fund_003,General Fund,400.0
264217836:1,264217836,fund_003,General Fund,400.0
264217843:1,264217843,fund_003,General Fund,400.0
264217856:1,264217856,fund_003,General Fund,600.0
264217859:1,264217859,fund_003,General Fund,400.0
264217864:1,264217864,fund_003,General Fund,400.0
264217875:1,264217875,fund_003,General Fund,400.0
264217885:1,264217885,fund_003,General Fund,600.0
264217890:1,264217890,fund_003,General Fund,600.0
264217897:1,264217897,fund_003,General Fund,600.0
264217902:1,264217902,fund_003,General Fund,400.0
264218229:1,264218229,fund_003,General Fund,250.0
264218272:1,264218272,fund_003,General Fund,250.0
264218276:1,264218276,fund_003,General Fund,500.0
264218310:1,264218310,fund_003,General Fund,150.0
264218313:1,264218313,fund_003,General Fund,200.0
264218315:1,264218315,fund_003,General Fund,166.0
264218317:1,264218317,fund_003,General Fund,200.0
264218651:1,264218651,fund_003,General Fund,100.0
264218654:1,264218654,fund_003,General Fund,100.0
264218658:1,264218658,fund_003,General Fund,100.0
264218661:1,264218661,fund_003,General Fund,100.0
264218663:1,264218663,fund_003,General Fund,100.0
264218666:1,264218666,fund_003,General Fund,100.0
264218670:1,264218670,fund_003,General Fund,100.0
264218672:1,264218672,fund_003,General Fund,100.0
264218677:1,264218677,fund_003,General Fund,100.0
264218679:1,264218679,fund_003,General Fund,100.0
264218683:1,264218683,fund_003,General Fund,100.0
264218686:1,264218686,fund_003,General Fund,100.0
